recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Vitamin B3 mg,Selenium µg,Vitamin B6 mg,Phosphorus mg,Vitamin B5 mg,Potassium mg,Vitamin B2 mg,Magnesium mg,Vitamin A IU,Zinc mg,Vitamin B1 mg,Vitamin B12 µg,Vitamin E mg,Iron mg,Calcium mg,Manganese mg,Copper mg,Fiber g,Vitamin C mg,Folate µg,Vitamin K µg,Vitamin D µg,Alcohol g
637876,112.66,2.73,0.78,1.13,0.8,0.69,55.07,702.3,18.28,8.81,27.15,0.65,190.61,1.25,348.98,0.11,24.8,305.05,0.61,0.06,0.22,0.51,0.51,23.8,0.04,0.03,0.33,1.1,4.55,1.16,,
716342,523.01,34.58,9.73,10.07,7.76,2.66,163.29,383.52,41.95,15.28,32.47,0.95,352.26,2.07,571.88,0.31,65.61,1056.83,3.22,0.18,0.67,1.68,4.54,103.5,0.56,0.2,2.31,8.29,32.35,54.64,0.44,
638420,91.06,4.86,1.4,6.99,6.82,6.67,21.13,275.71,5.2,1.63,4.34,0.1,38.59,0.22,53.0,0.03,5.85,58.82,0.4,,0.09,,0.42,,,,,,,,,
638308,684.76,55.31,27.63,18.34,13.95,7.08,93.75,1169.86,32.79,12.37,19.95,0.58,361.33,1.65,689.01,0.2,94.61,351.83,2.92,0.24,0.39,0.67,5.65,75.24,1.59,0.53,4.39,4.59,68.12,2.66,0.25,
638086,346.76,6.29,1.49,18.14,17.24,2.15,145.83,457.72,51.78,27.47,77.57,2.09,508.18,3.32,909.65,0.62,70.52,599.1,1.58,0.43,1.61,0.59,7.08,30.56,0.09,0.11,0.9,7.18,85.48,2.27,0.99,
638174,401.1,7.89,1.5,54.91,49.2,6.16,45.36,421.46,28.48,10.93,62.83,0.84,341.26,1.9,813.93,0.35,76.54,7181.32,1.81,0.19,0.21,1.28,3.7,92.17,0.77,0.41,5.7,30.94,94.52,87.19,,
638125,595.86,40.56,11.09,8.71,6.87,3.26,183.7,1362.86,46.81,16.89,36.35,1.02,393.62,2.42,663.19,0.34,61.8,542.39,3.43,0.19,0.76,1.34,2.74,68.14,0.28,0.17,1.84,13.85,39.04,15.55,0.49,
667707,687.31,44.82,11.08,24.95,22.3,17.71,163.29,695.34,41.45,15.36,31.9,0.85,343.74,2.11,617.88,0.32,64.53,643.76,3.07,0.15,0.67,2.98,3.42,86.12,0.26,0.22,2.66,6.31,23.49,59.83,0.44,2.47
638257,387.82,5.97,1.49,53.42,51.31,7.28,57.0,826.53,27.73,13.62,37.9,0.92,315.06,1.67,815.41,0.38,53.71,3210.86,1.56,0.22,0.15,0.48,2.01,52.18,0.65,0.33,2.1,12.18,44.14,102.72,,
637999,705.13,47.15,10.24,39.71,25.9,8.9,112.5,1495.79,35.45,15.07,29.64,1.13,412.8,3.74,1571.66,0.47,105.34,2085.05,3.49,0.43,0.47,4.68,3.85,97.94,0.72,0.53,13.82,48.63,205.26,56.47,0.3,
638148,416.01,10.36,3.93,52.06,49.66,0.58,117.38,347.16,27.75,9.29,26.13,0.92,406.21,2.36,581.76,0.26,130.23,2308.8,3.18,0.4,0.73,0.32,2.43,76.0,2.58,0.6,2.4,28.45,26.82,156.39,,
637942,482.88,16.49,4.94,38.3,36.98,1.71,142.52,866.61,42.3,11.03,48.33,1.02,410.21,1.88,687.02,0.35,69.9,195.15,8.43,0.19,2.97,1.28,3.81,70.26,0.64,0.31,1.32,12.61,38.31,17.03,0.33,
638002,487.02,24.66,6.32,25.16,20.66,9.0,146.02,1197.26,38.56,16.15,51.31,1.3,451.73,3.14,1119.89,0.51,82.95,1340.89,2.58,0.36,0.84,3.23,3.89,144.87,0.57,0.47,4.5,51.66,67.72,21.48,0.26,2.06
638263,447.08,8.65,3.93,62.51,58.83,2.73,64.69,658.46,27.75,10.61,34.21,0.77,348.04,1.84,623.97,0.25,64.14,354.61,1.84,0.25,0.25,0.69,1.82,124.96,0.78,0.27,3.68,1.79,52.11,2.14,0.17,
638035,412.06,19.73,9.04,13.27,12.59,1.14,175.52,816.8,42.94,14.06,57.49,1.02,541.87,2.19,573.88,0.41,55.91,426.97,3.17,0.41,1.71,0.71,1.83,306.72,0.17,0.12,0.68,2.42,34.82,2.2,0.77,
638166,613.34,42.48,11.35,10.1,9.16,4.73,811.49,652.31,44.62,23.9,132.96,2.12,756.26,14.45,709.53,4.08,55.93,25174.96,6.68,0.84,37.82,3.8,20.89,37.92,0.68,1.16,0.95,44.7,1344.74,9.67,0.18,
636682,275.84,14.55,3.25,5.46,3.11,2.24,88.67,443.36,30.11,9.36,28.87,0.58,256.43,1.29,528.08,0.24,39.01,5540.3,1.99,0.13,0.35,0.84,2.39,66.32,0.17,0.13,2.35,22.92,99.34,90.02,,
630484,316.26,5.22,1.1,30.6,23.24,20.05,96.0,959.21,38.63,19.63,52.18,1.95,486.15,3.3,1726.53,0.5,106.62,4599.28,2.11,0.35,0.31,3.02,2.62,77.03,0.77,0.38,7.36,193.33,114.52,27.97,0.2,
918033,327.63,10.12,2.76,32.1,31.19,4.18,100.94,1383.14,27.98,9.71,25.14,0.79,314.37,1.78,967.81,0.56,61.38,391.81,2.38,0.39,0.64,0.43,3.42,73.49,0.58,0.21,0.92,80.75,98.05,1.39,,
638231,289.3,19.07,4.2,0.6,0.46,0.42,85.83,576.99,27.18,11.82,38.48,0.86,299.55,1.68,433.74,0.15,34.14,116.79,0.92,0.08,0.35,0.91,0.65,111.25,0.04,0.04,,1.36,6.83,32.87,0.19,
991010,342.03,11.24,3.0,16.67,14.98,3.09,113.51,250.66,40.71,13.34,41.89,0.73,333.43,1.67,462.51,0.32,44.55,683.63,2.66,0.29,0.5,0.35,2.84,58.71,0.25,0.15,1.68,27.31,41.02,2.68,,
638316,653.55,13.37,2.3,97.33,88.03,8.56,55.49,2394.76,37.17,14.41,39.42,1.2,511.38,2.51,1373.29,0.4,117.21,17749.43,3.15,0.44,0.48,2.28,6.71,206.28,1.9,0.65,9.3,37.46,94.87,144.74,,
1096273,339.43,24.51,4.58,6.68,5.91,1.17,109.71,420.56,23.64,8.24,16.15,0.74,262.91,1.87,824.85,0.44,34.09,147.31,2.12,0.18,0.73,0.43,1.42,21.91,0.12,0.2,0.77,4.28,15.61,17.66,,
638218,169.39,8.76,1.36,10.06,7.89,5.76,36.16,71.9,13.36,6.38,18.45,0.58,156.3,1.06,461.54,0.14,32.29,361.33,0.59,0.11,0.11,1.33,0.66,39.1,0.18,0.08,2.16,39.55,33.44,7.17,,
638272,604.72,13.78,3.27,73.8,67.18,13.2,78.24,979.06,40.2,15.37,86.75,1.25,519.35,2.58,1420.78,0.32,115.15,3416.54,2.54,0.24,0.33,3.97,3.45,166.03,1.12,0.51,6.62,29.79,58.24,22.27,0.16,3.59
716330,462.19,6.21,1.59,81.86,64.29,58.19,73.09,1097.43,30.76,15.79,41.18,1.6,345.04,2.74,1486.66,0.42,143.27,4923.68,1.7,0.24,0.24,8.07,9.87,439.48,2.16,0.71,17.57,152.61,237.42,165.33,,
638199,366.77,9.61,4.14,41.82,38.18,13.78,61.97,822.46,26.9,14.06,35.68,0.91,301.93,1.41,892.15,0.43,52.63,3784.04,1.32,0.25,0.15,1.06,2.09,50.62,0.39,0.3,3.63,7.82,46.51,12.15,,
638343,328.92,20.48,10.64,19.41,15.71,2.29,60.0,317.17,17.72,10.39,12.05,0.55,208.62,1.04,615.49,0.13,58.97,234.12,1.69,0.13,0.25,0.41,3.11,48.02,1.05,0.23,3.7,28.45,66.67,3.54,0.16,
638292,341.93,20.16,5.37,17.35,12.41,4.88,111.13,847.21,21.82,6.78,24.35,0.57,240.55,1.58,449.15,0.33,48.61,213.15,1.96,0.14,0.73,0.46,3.66,134.24,1.78,0.23,4.94,3.25,19.67,36.92,0.15,1.81
637904,203.72,7.28,1.3,22.87,20.39,3.33,19.29,149.32,13.21,7.53,13.53,0.47,211.52,0.96,527.12,0.2,46.76,3239.78,1.1,0.16,0.27,1.13,1.76,45.42,0.83,0.28,2.49,9.88,31.99,18.35,,
638073,483.69,18.32,9.97,51.42,41.0,16.01,70.57,1531.31,30.28,5.3,22.17,0.5,484.0,1.39,689.61,0.42,100.02,1828.58,3.04,0.28,0.78,0.75,3.38,427.48,0.41,0.27,10.43,26.32,158.94,3.46,1.33,
637898,382.39,7.69,2.69,42.75,40.54,4.08,84.58,994.9,33.45,17.1,54.66,1.05,475.78,1.98,958.61,0.51,55.75,3769.41,1.43,0.49,0.29,0.58,3.07,140.35,0.42,0.24,2.21,4.59,101.17,10.73,0.15,
1096162,326.55,23.69,5.82,4.1,3.43,1.51,113.65,454.22,19.65,5.78,22.47,0.47,202.97,1.25,350.15,0.18,29.68,280.33,1.57,0.11,0.74,1.18,1.2,25.95,0.12,0.11,0.67,7.49,8.89,5.25,,2.47
